seed,loop_id,old_phase2b_class,old_phase2b_evidence,new_phase2c_subclass,new_evidence_level,match_by,note
21001,1,C. Opportunity failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21001,2,C. Opportunity failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21001,3,D. Matching failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21001,4,D. Matching failure,Probable,S,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21002,1,C. Opportunity failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21002,2,C. Opportunity failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21002,3,C. Opportunity failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21003,1,C. Opportunity failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21003,2,C. Opportunity failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21003,3,F. Unknown,Unknown,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21003,4,C. Opportunity failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21004,1,D. Matching failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21004,2,D. Matching failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21004,3,D. Matching failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21004,4,F. Unknown,Unknown,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21004,5,D. Matching failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21005,1,D. Matching failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21005,2,D. Matching failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21005,3,C. Opportunity failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21005,4,C. Opportunity failure,Probable,D1,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
21005,5,D. Matching failure,Probable,C3,Confirmed,loop_index_and_seed,"Phase 2C is an independent run with the same seed; loop matching is by loop index within the run, not by shared loop identity."
